,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
887,520,Nauru,2020,Percentage of individuals using the internet,76.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NRU,520
894,524,Nepal,2020,Percentage of individuals using the internet,45.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NPL,524
901,528,Netherlands (Kingdom of the),2020,Percentage of individuals using the internet,91.3,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NLD,528
912,554,New Zealand,2020,Percentage of individuals using the internet,92.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NZL,554
919,558,Nicaragua,2020,Percentage of individuals using the internet,53.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NIC,558
926,562,Niger,2020,Percentage of individuals using the internet,21.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NER,562
933,566,Nigeria,2020,Percentage of individuals using the internet,51.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NGA,566
943,807,North Macedonia,2020,Percentage of individuals using the internet,81.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MKD,807
950,578,Norway,2020,Percentage of individuals using the internet,97.0,Users in the last 3 months.;Population aged 16 to 79 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",NOR,578
957,512,Oman,2020,Percentage of individuals using the internet,95.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",OMN,512
963,586,Pakistan,2020,Percentage of individuals using the internet,18.9,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PAK,586
970,591,Panama,2020,Percentage of individuals using the internet,65.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PAN,591
977,598,Papua New Guinea,2020,Percentage of individuals using the internet,27.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PNG,598
984,600,Paraguay,2020,Percentage of individuals using the internet,74.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PRY,600
991,604,Peru,2020,Percentage of individuals using the internet,65.3,Population aged 14 years and over.;Users in the last month.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PER,604
998,608,Philippines,2020,Percentage of individuals using the internet,47.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PHL,608
1005,616,Poland,2020,Percentage of individuals using the internet,83.2,Users in the last 3 months.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",POL,616
1012,620,Portugal,2020,Percentage of individuals using the internet,78.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",PRT,620
1024,634,Qatar,2020,Percentage of individuals using the internet,99.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",QAT,634
1031,410,Republic of Korea,2020,Percentage of individuals using the internet,96.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KOR,410
1038,498,Republic of Moldova,2020,Percentage of individuals using the internet,59.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",MDA,498
1047,642,Romania,2020,Percentage of individuals using the internet,78.5,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ROU,642
1054,643,Russian Federation,2020,Percentage of individuals using the internet,85.0,Users in the last 3 months.;Population aged 15 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",RUS,643
1061,646,Rwanda,2020,Percentage of individuals using the internet,23.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",RWA,646
1071,659,Saint Kitts and Nevis,2020,Percentage of individuals using the internet,80.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",KNA,659
1078,662,Saint Lucia,2020,Percentage of individuals using the internet,77.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",LCA,662
1085,670,Saint Vincent & Grenadines,2020,Percentage of individuals using the internet,80.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",VCT,670
1092,882,Samoa,2020,Percentage of individuals using the internet,69.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",WSM,882
1097,674,San Marino,2020,Percentage of individuals using the internet,70.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SMR,674
1104,678,Sao Tome and Principe,2020,Percentage of individuals using the internet,40.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",STP,678
1111,682,Saudi Arabia,2020,Percentage of individuals using the internet,97.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SAU,682
1118,686,Senegal,2020,Percentage of individuals using the internet,47.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SEN,686
1124,688,Serbia,2020,Percentage of individuals using the internet,78.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SRB,688
1131,690,Seychelles,2020,Percentage of individuals using the internet,75.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SYC,690
1138,694,Sierra Leone,2020,Percentage of individuals using the internet,18.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SLE,694
1144,702,Singapore,2020,Percentage of individuals using the internet,92.0,Break in the time series.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SGP,702
1151,703,Slovakia,2020,Percentage of individuals using the internet,89.9,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SVK,703
1158,705,Slovenia,2020,Percentage of individuals using the internet,86.6,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SVN,705
1165,90,Solomon Islands,2020,Percentage of individuals using the internet,35.9,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SLB,090
1175,710,South Africa,2020,Percentage of individuals using the internet,70.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ZAF,710
1179,728,South Sudan,2020,Percentage of individuals using the internet,6.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SSD,728
1185,724,Spain,2020,Percentage of individuals using the internet,93.2,Users in the last 3 months.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ESP,724
1191,144,Sri Lanka,2020,Percentage of individuals using the internet,59.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",LKA,144
1201,729,Sudan,2020,Percentage of individuals using the internet,28.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SDN,729
1207,740,Suriname,2020,Percentage of individuals using the internet,62.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SUR,740
1214,752,Sweden,2020,Percentage of individuals using the internet,94.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SWE,752
1221,756,Switzerland,2020,Percentage of individuals using the internet,94.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",CHE,756
1228,760,Syrian Arab Republic,2020,Percentage of individuals using the internet,35.8,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",SYR,760
1238,764,Thailand,2020,Percentage of individuals using the internet,77.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",THA,764
1244,626,Timor-Leste,2020,Percentage of individuals using the internet,34.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TLS,626
1251,768,Togo,2020,Percentage of individuals using the internet,29.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",TGO,768
