,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO,ISO_num
53,28,Antigua and Barbuda,2010,Percentage of individuals using the internet,47.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ATG,028
54,28,Antigua and Barbuda,2015,Percentage of individuals using the internet,70.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ATG,028
55,28,Antigua and Barbuda,2019,Percentage of individuals using the internet,95.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ATG,028
56,28,Antigua and Barbuda,2020,Percentage of individuals using the internet,95.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ATG,028
57,28,Antigua and Barbuda,2021,Percentage of individuals using the internet,95.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ATG,028
58,32,Argentina,2000,Percentage of individuals using the internet,7.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARG,032
59,32,Argentina,2005,Percentage of individuals using the internet,17.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARG,032
60,32,Argentina,2010,Percentage of individuals using the internet,45.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARG,032
61,32,Argentina,2015,Percentage of individuals using the internet,68.0,Population aged 10 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARG,032
62,32,Argentina,2019,Percentage of individuals using the internet,79.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARG,032
63,32,Argentina,2020,Percentage of individuals using the internet,85.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARG,032
64,32,Argentina,2021,Percentage of individuals using the internet,87.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARG,032
65,51,Armenia,2000,Percentage of individuals using the internet,1.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARM,051
66,51,Armenia,2005,Percentage of individuals using the internet,5.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARM,051
67,51,Armenia,2010,Percentage of individuals using the internet,25.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARM,051
68,51,Armenia,2015,Percentage of individuals using the internet,59.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARM,051
69,51,Armenia,2019,Percentage of individuals using the internet,66.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARM,051
70,51,Armenia,2020,Percentage of individuals using the internet,76.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARM,051
71,51,Armenia,2021,Percentage of individuals using the internet,78.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ARM,051
72,533,Aruba,2000,Percentage of individuals using the internet,15.4,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ABW,533
73,533,Aruba,2005,Percentage of individuals using the internet,25.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ABW,533
74,533,Aruba,2010,Percentage of individuals using the internet,62.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ABW,533
75,533,Aruba,2015,Percentage of individuals using the internet,88.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",ABW,533
76,36,Australia,2000,Percentage of individuals using the internet,46.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUS,036
77,36,Australia,2005,Percentage of individuals using the internet,63.0,Population aged 15 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUS,036
78,36,Australia,2010,Percentage of individuals using the internet,76.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUS,036
79,36,Australia,2015,Percentage of individuals using the internet,84.6,Population aged 15 years and over. Accessed the internet for personal use in a typical week.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUS,036
80,36,Australia,2019,Percentage of individuals using the internet,93.6,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUS,036
81,36,Australia,2020,Percentage of individuals using the internet,96.4,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUS,036
82,36,Australia,2021,Percentage of individuals using the internet,96.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUS,036
83,40,Austria,2000,Percentage of individuals using the internet,33.7,Population aged 14 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUT,040
84,40,Austria,2005,Percentage of individuals using the internet,58.0,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUT,040
85,40,Austria,2010,Percentage of individuals using the internet,75.2,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUT,040
86,40,Austria,2015,Percentage of individuals using the internet,83.9,Users in the last 3 months.;Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUT,040
87,40,Austria,2019,Percentage of individuals using the internet,87.8,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUT,040
88,40,Austria,2020,Percentage of individuals using the internet,87.5,Users in the last 3 months.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUT,040
89,40,Austria,2021,Percentage of individuals using the internet,92.5,Population aged 16 to 74 years.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AUT,040
90,31,Azerbaijan,2000,Percentage of individuals using the internet,0.1,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AZE,031
91,31,Azerbaijan,2005,Percentage of individuals using the internet,8.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AZE,031
92,31,Azerbaijan,2010,Percentage of individuals using the internet,46.0,Population aged 7 years and over.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AZE,031
93,31,Azerbaijan,2015,Percentage of individuals using the internet,77.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AZE,031
94,31,Azerbaijan,2019,Percentage of individuals using the internet,81.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AZE,031
95,31,Azerbaijan,2020,Percentage of individuals using the internet,84.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AZE,031
96,31,Azerbaijan,2021,Percentage of individuals using the internet,86.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",AZE,031
97,44,Bahamas,2000,Percentage of individuals using the internet,8.0,Estimate.;Estimated based on 3 times the number of subscribers.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHS,044
98,44,Bahamas,2005,Percentage of individuals using the internet,25.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHS,044
99,44,Bahamas,2010,Percentage of individuals using the internet,43.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHS,044
100,44,Bahamas,2015,Percentage of individuals using the internet,78.0,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHS,044
101,44,Bahamas,2019,Percentage of individuals using the internet,90.7,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHS,044
102,44,Bahamas,2020,Percentage of individuals using the internet,92.5,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHS,044
103,44,Bahamas,2021,Percentage of individuals using the internet,94.3,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHS,044
104,48,Bahrain,2000,Percentage of individuals using the internet,6.2,Estimate.,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",BHR,048
