,Region Code,Region,Year,Series,Percentage,Footnotes,Source,ISO
52,21,Northern America,2015,Percentage of individuals using the internet,76.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
53,21,Northern America,2019,Percentage of individuals using the internet,89.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
54,21,Northern America,2020,Percentage of individuals using the internet,90.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
55,21,Northern America,2021,Percentage of individuals using the internet,91.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
56,419,Latin America & the Caribbean,2000,Percentage of individuals using the internet,5.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
57,419,Latin America & the Caribbean,2005,Percentage of individuals using the internet,16.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
58,419,Latin America & the Caribbean,2010,Percentage of individuals using the internet,34.7,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
59,419,Latin America & the Caribbean,2015,Percentage of individuals using the internet,54.3,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
60,419,Latin America & the Caribbean,2019,Percentage of individuals using the internet,67.9,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
61,419,Latin America & the Caribbean,2020,Percentage of individuals using the internet,73.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
62,419,Latin America & the Caribbean,2021,Percentage of individuals using the internet,74.8,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
63,29,Caribbean,2000,Percentage of individuals using the internet,3.5,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
64,29,Caribbean,2005,Percentage of individuals using the internet,11.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
65,29,Caribbean,2010,Percentage of individuals using the internet,21.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
66,29,Caribbean,2015,Percentage of individuals using the internet,38.0,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
67,29,Caribbean,2019,Percentage of individuals using the internet,62.2,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
68,29,Caribbean,2020,Percentage of individuals using the internet,65.6,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
69,29,Caribbean,2021,Percentage of individuals using the internet,67.1,,"International Telecommunication Union (ITU), Geneva, the ITU database, last accessed March 2023.",not found
